original_text,augmented_text,augmentation_type,short_description_of_changed_words,label
Compliments to the chef!,Compliments to wish the chef!,insertion,inserted: wish,praise
Do you serve breakfast all day?,Do you serve breakfast all day?,deletion,none,inquiry
Do you serve breakfast all day?,Do day? serve breakfast all you,swap,day? <-> you,inquiry
Do you serve breakfast all day?,Do you serve all day?,deletion,deleted: breakfast,inquiry
We had a lovely time.,We had adenine lovely time.,synonym,a -> adenine,praise
We had a lovely time.,We had a lovely time.,deletion,none,praise
We had a lovely time.,We birth a lovely time.,synonym,had -> birth,praise
The service was very slow.,slow. service was very The,swap,slow. <-> The,complaint
The service was very slow.,The was service very slow.,swap,was <-> service,complaint
The service was very slow.,The service live very slow.,synonym,was -> live,complaint
Our reservation was not honored.,Our reservation was not non honored.,insertion,inserted: non,complaint
Our reservation was not honored.,Our reservation was not honored.,deletion,none,complaint
Our reservation was not honored.,Our reservation was cost not honored.,insertion,inserted: cost,complaint
"Can I get a table for two, please?","Can I get a tooshie table for two, please?",insertion,inserted: tooshie,request
"Can I get a table for two, please?","Can for get a table I two, please?",swap,I <-> for,request
"Can I get a table for two, please?","Can 1 get a table for two, please?",synonym,I -> 1,request
Compliments to the chef!,chef! to the Compliments,swap,Compliments <-> chef!,praise
Compliments to the chef!,Compliments the chef!,deletion,deleted: to,praise
Compliments to the chef!,compliments Compliments to the chef!,insertion,inserted: compliments,praise
Do you have any daily specials?,you Do have any daily specials?,swap,Do <-> you,inquiry
Do you have any daily specials?,Do have any daily specials?,deletion,deleted: you,inquiry
Do you have any daily specials?,Do you have any daily specials?,deletion,none,inquiry
Do you take reservations?,Do you take reservations? shoot,insertion,inserted: shoot,inquiry
Do you take reservations?,Do you reservations? take,swap,reservations? <-> take,inquiry
Do you take reservations?,Do you take reservations?,deletion,none,inquiry
I found a hair in my food.,I a hair in my food.,deletion,deleted: found,complaint
I found a hair in my food.,ane found a hair in my food.,synonym,I -> ane,complaint
I found a hair in my food.,food. found a hair in my I,swap,food. <-> I,complaint
This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none,praise
This was a fantastic dining experience.,This was a wonderful dining experience.,synonym,fantastic -> wonderful,praise
This was a fantastic dining experience.,This was a fantastic dining experience. boom,insertion,inserted: boom,praise
Can I change my order?,Can I change my alter order?,insertion,inserted: alter,request
Can I change my order?,Can I switch change my order?,insertion,inserted: switch,request
Can I change my order?,Can I change my order?,deletion,none,request
We had a lovely time.,We had experience a lovely time.,insertion,inserted: experience,praise
We had a lovely time.,We had a lovely time.,deletion,none,praise
We had a lovely time.,We had a amp lovely time.,insertion,inserted: amp,praise
Best restaurant in town!,Best restaurant in town!,deletion,none,praise
Best restaurant in town!,good restaurant in town!,synonym,Best -> good,praise
Best restaurant in town!,Best restaurant in town!,deletion,none,praise
"That will be all for now, thank you.","That will be all for now, give thanks you.",synonym,thank -> give thanks,confirmation
"That will be all for now, thank you.","That will thank all for now, be you.",swap,be <-> thank,confirmation
"That will be all for now, thank you.","That will be all for now, thank you.",deletion,none,confirmation
"Yes, everything’s great.","great. everything’s Yes,",swap,"Yes, <-> great.",confirmation
"Yes, everything’s great.","Yes, everything’s great.",deletion,none,confirmation
"Yes, everything’s great.","Yes, everything’s great.",deletion,none,confirmation
"That’s correct, two coffees and a muffin.","That’s correct, two coffees and type a a muffin.",insertion,inserted: type a,confirmation
"That’s correct, two coffees and a muffin.","a correct, two coffees and That’s muffin.",swap,That’s <-> a,confirmation
"That’s correct, two coffees and a muffin.",That’s two coffees and a muffin.,deletion,"deleted: correct,",confirmation
This was a fantastic dining experience.,This was a fantastic experience.,deletion,deleted: dining,praise
This was a fantastic dining experience.,This was a dining experience.,deletion,deleted: fantastic,praise
This was a fantastic dining experience.,follow This was a fantastic dining experience.,insertion,inserted: follow,praise
The steak is undercooked.,The steak personify undercooked.,synonym,is -> personify,complaint
The steak is undercooked.,The steak live is undercooked.,insertion,inserted: live,complaint
The steak is undercooked.,The steak equal undercooked.,synonym,is -> equal,complaint
Do you have a table near the window?,Do you near a table have the window?,swap,have <-> near,request
Do you have a table near the window?,Do you have a table near,deletion,"deleted: the, window?",request
Do you have a table near the window?,Do you have deoxyadenosine monophosphate table near the window?,synonym,a -> deoxyadenosine monophosphate,request
The pasta was amazing!,The pasta was amazing!,deletion,none,praise
The pasta was amazing!,The pasta constitute amazing!,synonym,was -> constitute,praise
The pasta was amazing!,The alimentary paste was amazing!,synonym,pasta -> alimentary paste,praise
Can I change my order?,Can I can buoy change my order?,insertion,inserted: can buoy,request
Can I change my order?,Can I tail change my order?,insertion,inserted: tail,request
Can I change my order?,I Can change my order?,swap,Can <-> I,request
"Yes, we have a reservation at 7.","Yes, we atomic number 85 have a reservation at 7.",insertion,inserted: atomic number 85,confirmation
"Yes, we have a reservation at 7.","Yes, we have a reservation at 7. atomic number 85",insertion,inserted: atomic number 85,confirmation
"Yes, we have a reservation at 7.","Yes, we have a reservation at",deletion,deleted: 7.,confirmation
Can I see the wine list?,Can ane see the wine list?,synonym,I -> ane,inquiry
Can I see the wine list?,Can I visualise the wine list?,synonym,see -> visualise,inquiry
Can I see the wine list?,Can I see the wine,deletion,deleted: list?,inquiry
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the",deletion,deleted: bar.,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait the bar.",deletion,deleted: at,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait astatine the bar.",synonym,at -> astatine,confirmation
Is gratuity included in the bill?,Is indiana gratuity included in the bill?,insertion,inserted: indiana,inquiry
Is gratuity included in the bill?,Is baksheesh included in the bill?,synonym,gratuity -> baksheesh,inquiry
Is gratuity included in the bill?,Is gratuity let in in the bill?,synonym,included -> let in,inquiry
This soup is cold.,live This soup is cold.,insertion,inserted: live,complaint
This soup is cold.,This soup embody cold.,synonym,is -> embody,complaint
This soup is cold.,This soup is cold.,deletion,none,complaint
I found a hair in my food.,I found a in hair my food.,swap,in <-> hair,complaint
I found a hair in my food.,I found a hair my in food.,swap,in <-> my,complaint
I found a hair in my food.,I hair my food.,deletion,"deleted: found, a, in",complaint
Do you have outdoor seating?,Do you have outdoor seating? behave,insertion,inserted: behave,inquiry
Do you have outdoor seating?,bash you have outdoor seating?,synonym,Do -> bash,inquiry
Do you have outdoor seating?,Do have you outdoor seating?,swap,have <-> you,inquiry
Can I see the wine list?,Can I see unity the wine list?,insertion,inserted: unity,inquiry
Can I see the wine list?,Can wine-coloured I see the wine list?,insertion,inserted: wine-coloured,inquiry
Can I see the wine list?,Can I wine the see list?,swap,see <-> wine,inquiry
"That will be all for now, thank you.","That equal will be all for now, thank you.",insertion,inserted: equal,confirmation
"That will be all for now, thank you.","That will be all for give thanks now, thank you.",insertion,inserted: give thanks,confirmation
"That will be all for now, thank you.","That will be altogether for now, thank you.",synonym,all -> altogether,confirmation
Do you have any gluten-free options?,Do you have any whatever gluten-free options?,insertion,inserted: whatever,request
Do you have any gluten-free options?,Do you gluten-free any have options?,swap,have <-> gluten-free,request
Do you have any gluten-free options?,whatsoever Do you have any gluten-free options?,insertion,inserted: whatsoever,request
We had a lovely time.,We had lovely a time.,swap,lovely <-> a,praise
We had a lovely time.,time. had a lovely We,swap,We <-> time.,praise
We had a lovely time.,We had a lovely give time.,insertion,inserted: give,praise
"Yes, everything’s great.","Yes, everything’s",deletion,deleted: great.,confirmation
"Yes, everything’s great.","Yes, great. everything’s",swap,great. <-> everything’s,confirmation
"Yes, everything’s great.","Yes, everything’s great.",synonym,,confirmation
"That’s perfect, thank you.","That’s perfect, thank give thanks you.",insertion,inserted: give thanks,confirmation
"That’s perfect, thank you.","you. perfect, thank That’s",swap,That’s <-> you.,confirmation
"That’s perfect, thank you.","perfect, That’s thank you.",swap,"perfect, <-> That’s",confirmation
Do you have a table near the window?,Do you suffer a table near the window?,synonym,have -> suffer,request
Do you have a table near the window?,Do you consume a table near the window?,synonym,have -> consume,request
Do you have a table near the window?,Do you have a table near the axerophthol window?,insertion,inserted: axerophthol,request
"Yes, we have a reservation at 7.","Yes, 7. have a reservation at we",swap,we <-> 7.,confirmation
"Yes, we have a reservation at 7.","Yes, we have axerophthol reservation at 7.",synonym,a -> axerophthol,confirmation
"Yes, we have a reservation at 7.","Yes, have reservation at 7.",deletion,"deleted: we, a",confirmation
The food doesn’t taste fresh.,The food doesn’t taste fresh. try out,insertion,inserted: try out,complaint
The food doesn’t taste fresh.,try out The food doesn’t taste fresh.,insertion,inserted: try out,complaint
The food doesn’t taste fresh.,The fresh. doesn’t taste food,swap,fresh. <-> food,complaint
We’ve been waiting for 30 minutes.,30 been waiting for We’ve minutes.,swap,30 <-> We’ve,complaint
We’ve been waiting for 30 minutes.,been waiting for minutes.,deletion,"deleted: We’ve, 30",complaint
We’ve been waiting for 30 minutes.,We’ve constitute waiting for 30 minutes.,synonym,been -> constitute,complaint
This was a fantastic dining experience.,This was a dining experience.,deletion,deleted: fantastic,praise
This was a fantastic dining experience.,was This a fantastic dining experience.,swap,was <-> This,praise
This was a fantastic dining experience.,This was fantastic a dining experience.,swap,a <-> fantastic,praise
Can I get another glass of water?,Can I get another of glass water?,swap,glass <-> of,request
Can I get another glass of water?,Can I get another glass,deletion,"deleted: of, water?",request
Can I get another glass of water?,glass I get another Can of water?,swap,glass <-> Can,request
"Sure, I’ll wait at the bar.","Sure, I’ll time lag at the bar.",synonym,wait -> time lag,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll bar. at the wait",swap,bar. <-> wait,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the waiting bar.",insertion,inserted: waiting,confirmation
"Can I get a table for two, please?","Can a get I table for two, please?",swap,a <-> I,request
"Can I get a table for two, please?","Can I get a table for two, one please?",insertion,inserted: one,request
"Can I get a table for two, please?","Can I get down a table for two, please?",synonym,get -> get down,request
"Sure, I’ll wait at the bar.","Sure, I’ll bar. at the wait",swap,bar. <-> wait,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll postponement at the bar.",synonym,wait -> postponement,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar.",deletion,none,confirmation
"That’s correct, two coffees and a muffin.","That’s correct, ii coffees and a muffin.",synonym,two -> ii,confirmation
"That’s correct, two coffees and a muffin.","That’s correct, ii coffees and a muffin.",synonym,two -> ii,confirmation
"That’s correct, two coffees and a muffin.","That’s correct, burnt umber two coffees and a muffin.",insertion,inserted: burnt umber,confirmation
Is gratuity included in the bill?,Is gratuity included in make up the bill?,insertion,inserted: make up,inquiry
Is gratuity included in the bill?,constitute gratuity included in the bill?,synonym,Is -> constitute,inquiry
Is gratuity included in the bill?,Is baksheesh included in the bill?,synonym,gratuity -> baksheesh,inquiry
Can I see the wine list?,Can I see the wine,deletion,deleted: list?,inquiry
Can I see the wine list?,Can unity see the wine list?,synonym,I -> unity,inquiry
Can I see the wine list?,Can I iodin see the wine list?,insertion,inserted: iodin,inquiry
This was a fantastic dining experience.,This was a dine fantastic dining experience.,insertion,inserted: dine,praise
This was a fantastic dining experience.,This was a fantastic dine experience.,synonym,dining -> dine,praise
This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none,praise
The steak is undercooked.,The undercooked. is steak,swap,undercooked. <-> steak,complaint
The steak is undercooked.,equal The steak is undercooked.,insertion,inserted: equal,complaint
The steak is undercooked.,The steak follow undercooked.,synonym,is -> follow,complaint
I found a hair in my food.,I found a hair in whisker my food.,insertion,inserted: whisker,complaint
I found a hair in my food.,I found a hair's-breadth in my food.,synonym,hair -> hair's-breadth,complaint
I found a hair in my food.,I found a hair in food.,deletion,deleted: my,complaint
We’ll be paying separately.,We’ll be paying separately.,deletion,none,confirmation
We’ll be paying separately.,We’ll be gainful separately.,synonym,paying -> gainful,confirmation
We’ll be paying separately.,We’ll separately. paying be,swap,be <-> separately.,confirmation
Great atmosphere and friendly staff.,Great atmosphere and friendly favorable staff.,insertion,inserted: favorable,praise
Great atmosphere and friendly staff.,not bad atmosphere and friendly staff.,synonym,Great -> not bad,praise
Great atmosphere and friendly staff.,Great ambience and friendly staff.,synonym,atmosphere -> ambience,praise
What’s the most popular dish here?,What’s the to the highest degree popular dish here?,synonym,most -> to the highest degree,inquiry
What’s the most popular dish here?,What’s the most popular dish here?,deletion,none,inquiry
What’s the most popular dish here?,What’s the almost popular dish here?,synonym,most -> almost,inquiry
"Can I speak to the manager, please?","Can I utter to the manager, please?",synonym,speak -> utter,request
"Can I speak to the manager, please?","Can please? speak to the manager, I",swap,please? <-> I,request
"Can I speak to the manager, please?","Can I speak to manager, please?",deletion,deleted: the,request
The pasta was amazing!,live The pasta was amazing!,insertion,inserted: live,praise
The pasta was amazing!,The pasta be amazing!,synonym,was -> be,praise
The pasta was amazing!,The was pasta amazing!,swap,pasta <-> was,praise
This isn’t what I ordered.,I isn’t what This ordered.,swap,This <-> I,complaint
This isn’t what I ordered.,This isn’t iodin what I ordered.,insertion,inserted: iodin,complaint
This isn’t what I ordered.,This what I ordered.,deletion,deleted: isn’t,complaint
Thank you for the excellent service.,you Thank for the excellent service.,swap,you <-> Thank,praise
Thank you for the excellent service.,Thank you for excellent the service.,swap,excellent <-> the,praise
Thank you for the excellent service.,Thank you for excellent service.,deletion,deleted: the,praise
Do you have a table near the window?,Do you have group a table near the window?,synonym,a -> group a,request
Do you have a table near the window?,you Do have a table near the window?,swap,Do <-> you,request
Do you have a table near the window?,you have a table near the window?,deletion,deleted: Do,request
Great atmosphere and friendly staff.,Great atmosphere and staff.,deletion,deleted: friendly,praise
Great atmosphere and friendly staff.,Great friendly and atmosphere staff.,swap,friendly <-> atmosphere,praise
Great atmosphere and friendly staff.,Great atmospheric state and friendly staff.,synonym,atmosphere -> atmospheric state,praise
The steak is undercooked.,The undercooked. is steak,swap,steak <-> undercooked.,complaint
The steak is undercooked.,The steak is embody undercooked.,insertion,inserted: embody,complaint
The steak is undercooked.,steak The is undercooked.,swap,steak <-> The,complaint
This isn’t what I ordered.,This isn’t what iodine I ordered.,insertion,inserted: iodine,complaint
This isn’t what I ordered.,This isn’t what I ordered.,deletion,none,complaint
This isn’t what I ordered.,This isn’t what I ordered.,insertion,none,complaint
I’ll definitely come back again.,I’ll definitely again. back come,swap,again. <-> come,praise
I’ll definitely come back again.,I’ll definitely come back decidedly again.,insertion,inserted: decidedly,praise
I’ll definitely come back again.,I’ll back come definitely again.,swap,back <-> definitely,praise
What are your opening hours?,What exist your opening hours?,synonym,are -> exist,inquiry
What are your opening hours?,What are your give opening hours?,insertion,inserted: give,inquiry
What are your opening hours?,What are your opening move hours?,synonym,opening -> opening move,inquiry
My order is taking too long.,My order is taking too long.,deletion,none,complaint
My order is taking too long.,My order too taking is long.,swap,too <-> is,complaint
My order is taking too long.,My order is lease too long.,synonym,taking -> lease,complaint
This isn’t what I ordered.,This isn’t what I ordered.,deletion,none,complaint
This isn’t what I ordered.,I isn’t what This ordered.,swap,I <-> This,complaint
This isn’t what I ordered.,This i isn’t what I ordered.,insertion,inserted: i,complaint
"Yes, we’re ready to order.","Yes, we’re ready to order.",deletion,none,confirmation
"Yes, we’re ready to order.","Yes, we’re ready to make order.",insertion,inserted: make,confirmation
"Yes, we’re ready to order.","Yes, we’re ready to order.",deletion,none,confirmation
Our reservation was not honored.,Our reservation was not mental reservation honored.,insertion,inserted: mental reservation,complaint
Our reservation was not honored.,Our reservation not honored.,deletion,deleted: was,complaint
Our reservation was not honored.,honored. reservation was not Our,swap,honored. <-> Our,complaint
What are your opening hours?,What are your hours?,deletion,deleted: opening,inquiry
What are your opening hours?,your are What opening hours?,swap,What <-> your,inquiry
What are your opening hours?,What constitute your opening hours?,synonym,are -> constitute,inquiry
Best restaurant in town!,in restaurant Best town!,swap,in <-> Best,praise
Best restaurant in town!,Best in restaurant town!,swap,restaurant <-> in,praise
Best restaurant in town!,scoop restaurant in town!,synonym,Best -> scoop,praise
"Can we have the bill, please?","Can we sustain the bill, please?",synonym,have -> sustain,request
"Can we have the bill, please?","Can we please? the bill, have",swap,please? <-> have,request
"Can we have the bill, please?","Can we have the bill, please?",deletion,none,request
I’ll definitely come back again.,I’ll definitely back,deletion,"deleted: come, again.",praise
I’ll definitely come back again.,I’ll back come definitely again.,swap,definitely <-> back,praise
I’ll definitely come back again.,I’ll definitely make out back again.,synonym,come -> make out,praise
I'd like to order a vegetarian dish.,I'd like to a dish.,deletion,"deleted: order, vegetarian",request
I'd like to order a vegetarian dish.,I'd like vegetarian order a to dish.,swap,to <-> vegetarian,request
I'd like to order a vegetarian dish.,I'd like to dictate a vegetarian dish.,synonym,order -> dictate,request
Thank you for the excellent service.,fantabulous Thank you for the excellent service.,insertion,inserted: fantabulous,praise
Thank you for the excellent service.,the you for Thank excellent service.,swap,Thank <-> the,praise
Thank you for the excellent service.,Thank you for the first-class excellent service.,insertion,inserted: first-class,praise
Can I change my order?,canful I change my order?,synonym,Can -> canful,request
Can I change my order?,I change order?,deletion,"deleted: Can, my",request
Can I change my order?,Can order? change my I,swap,I <-> order?,request
What are your opening hours?,What are your chess opening hours?,synonym,opening -> chess opening,inquiry
What are your opening hours?,are What your opening hours?,swap,What <-> are,inquiry
What are your opening hours?,What are your,deletion,"deleted: opening, hours?",inquiry
Is gratuity included in the bill?,Is gratuity included in the bill?,deletion,none,inquiry
Is gratuity included in the bill?,Is gratuity the in included bill?,swap,included <-> the,inquiry
Is gratuity included in the bill?,Is gratuity included in the bill?,deletion,none,inquiry
We'd like to order now.,We'd wish to order now.,synonym,like -> wish,request
We'd like to order now.,We'd like comparable to order now.,insertion,inserted: comparable,request
We'd like to order now.,like to order now.,deletion,deleted: We'd,request
The service was very slow.,The service very slow.,deletion,deleted: was,complaint
The service was very slow.,The service was very slow.,deletion,none,complaint
The service was very slow.,service The was very slow.,swap,service <-> The,complaint
I found a hair in my food.,I found a hair in my food.,deletion,none,complaint
I found a hair in my food.,I found a hair in my hairsbreadth food.,insertion,inserted: hairsbreadth,complaint
I found a hair in my food.,I found a hair in food. my,swap,food. <-> my,complaint
The service was very slow.,The service was very follow slow.,insertion,inserted: follow,complaint
The service was very slow.,The robert william service was very slow.,synonym,service -> robert william service,complaint
The service was very slow.,The service equal very slow.,synonym,was -> equal,complaint
"Can I speak to the manager, please?","Can I speak to single the manager, please?",insertion,inserted: single,request
"Can I speak to the manager, please?","potty I speak to the manager, please?",synonym,Can -> potty,request
"Can I speak to the manager, please?","Can I speak to the manager,",deletion,deleted: please?,request
The service was very slow.,The service was rattling slow.,synonym,very -> rattling,complaint
The service was very slow.,The service washington very slow.,synonym,was -> washington,complaint
The service was very slow.,The service was very slow. help,insertion,inserted: help,complaint
The food doesn’t taste fresh.,taste food doesn’t The fresh.,swap,The <-> taste,complaint
The food doesn’t taste fresh.,solid food The food doesn’t taste fresh.,insertion,inserted: solid food,complaint
The food doesn’t taste fresh.,The food nutrient doesn’t taste fresh.,insertion,inserted: nutrient,complaint
This isn’t what I ordered.,This isn’t what I ordered.,deletion,none,complaint
This isn’t what I ordered.,This isn’t what ace ordered.,synonym,I -> ace,complaint
This isn’t what I ordered.,isn’t This what I ordered.,swap,isn’t <-> This,complaint
"Yes, we’re ready to order.","Yes, we’re fix to order.",synonym,ready -> fix,confirmation
"Yes, we’re ready to order.","Yes, we’re fix ready to order.",insertion,inserted: fix,confirmation
"Yes, we’re ready to order.","Yes, we’re set up to order.",synonym,ready -> set up,confirmation
I found a hair in my food.,I found a hair in my food.,deletion,none,complaint
I found a hair in my food.,I found a my food.,deletion,"deleted: hair, in",complaint
I found a hair in my food.,I found a in my food.,deletion,deleted: hair,complaint
The portion size is too small.,The portion size is too small. assign,insertion,inserted: assign,complaint
The portion size is too small.,The portion size component part is too small.,insertion,inserted: component part,complaint
The portion size is too small.,The destiny size is too small.,synonym,portion -> destiny,complaint
Do you have any daily specials?,Do you have any daily specials?,deletion,none,inquiry
Do you have any daily specials?,Do whatever you have any daily specials?,insertion,inserted: whatever,inquiry
Do you have any daily specials?,Do you have any rich person daily specials?,insertion,inserted: rich person,inquiry
Do you serve breakfast all day?,Do you serve all breakfast day?,swap,breakfast <-> all,inquiry
Do you serve breakfast all day?,Do you serve breakfast entirely day?,synonym,all -> entirely,inquiry
Do you serve breakfast all day?,set you serve breakfast all day?,synonym,Do -> set,inquiry
